,circuit,conn_id,post_tnid,theta,phi,angle_from_xy,rotation_on_xy
198,ORN-PN,5225746,5225980,0.39686653750508316,0.3782683974359351,1.1739297892898133,0.3782683974359351
199,ORN-PN,5225983,5226003,,,,
200,ORN-PN,5226006,5226026,0.9843574932114619,0.03415671708073163,0.5864388335834346,0.03415671708073163
201,ORN-PN,5226044,6498826,,,,
202,ORN-PN,5226044,7207496,2.211370061381358,-1.3487766188834955,0.6405737345864613,1.7928160347062976
203,ORN-PN,5251049,5251055,1.3939823977223336,-2.351362476296192,0.176813929072563,0.7902301772936009
204,ORN-PN,5251172,5251191,1.319586614611109,-1.262319918278328,0.2512097121837875,1.879272735311465
205,ORN-PN,5251172,5251201,0.24213940274288273,0.6252181097293268,1.3286569240520139,0.6252181097293268
206,ORN-PN,5261030,5261036,1.5860263421975955,-2.3929039630611944,0.015230015402698971,0.7486886905285988
207,ORN-PN,5261371,5261377,1.5069721563607656,2.813667586940275,0.06382417043413091,2.813667586940275
208,ORN-PN,5261394,5261407,1.2766991349943586,-0.4606822222310213,0.29409719180053795,2.6809104313587717
209,ORN-PN,5261431,5261444,1.9034279295806227,-0.16141959414142193,0.3326316027857261,2.9801730594483713
210,ORN-PN,5261714,5261734,2.2433475454451863,2.504324014512502,0.6725512186502898,2.504324014512502
