skeleton_id,node_id,connector_id,distance_to_dendritic_root
3034133,6206645,6206647,20458.635125139535
3034133,6206864,6206865,15589.332084102065
3034133,6207411,20837636,8550.540879392189
3034133,6207412,6207414,8672.118063992784
3034133,6207449,6207457,8924.629713859627
3034133,6207481,6207484,8746.444299494757
3034133,6207511,6207513,9004.513177467288
3034133,6207549,6207551,7841.799425954672
3034133,6207577,6207580,7606.6528522022745
3034133,6207655,6207656,15602.777903463237
3034133,6207700,6207703,16471.896915658985
3034133,6207747,4031817,18120.866938364972
3034133,6207786,6207792,18890.23771120817
3034133,6207882,6204465,15701.736791023835
3034133,6207953,3965892,21182.3663433785
3034133,6208012,6208015,22564.91977888841
3034133,6208195,6208197,14809.092733782349
3034133,6208238,6208240,11935.14099460268
3034133,6208314,6208315,17076.641664555962
3034133,6208367,6208370,18252.564361573674
3034133,6208461,6208483,10325.547137726495
3034133,6208463,6208465,10553.791703286584
3034133,6208559,6208561,21514.739387419406
3034133,6208623,6208636,24172.738671297677
3034133,6208661,6208664,25115.247175900924
3034133,6208684,6208686,25118.852339105313
3034133,6208723,6208725,25674.632258250498
3034133,6208754,6208756,25359.807941714087
3034133,6208795,6208797,26846.625202477935
3034133,6208835,6208841,22237.299472413517
3034133,6208867,6208871,22485.19072515488
3034133,6208915,6208918,23000.972625946804
3034133,6208942,6208944,23463.11577911567
3034133,6208963,6208965,19033.91387088437
3034133,6209012,6209015,18392.44276392576
3034133,6209074,6209081,18598.96030349532
3034133,6209226,6209229,22464.07974015005
3034133,6209256,6209257,23129.59754511844
3034133,6209297,6209368,23750.643114217874
3034133,6209304,6209306,23824.243787846604
3034133,6209403,6209404,24928.728775459796
3034133,6209427,6209430,25033.702863823204
3034133,6209470,6209473,24961.844699970734
3034133,6209494,6209430,25231.768824731833
3034133,6209665,6209676,22821.58068665826
3034133,6209669,6209730,22921.618547756287
3034133,6209756,9856228,22981.379205701898
3034133,6209762,6209766,23202.53730620973
3034133,6210023,5916964,14680.516069553956
3034133,6210054,4031787,15218.493242942193
3034133,6210232,5916964,15176.153510484273
3034133,6210244,10159674,10636.291848147546
3034133,6210528,3476028,13833.034328410995
3034133,6210551,14129659,14131.253499521274
3034133,6210558,6210563,14386.613172751411
3034133,6210875,6210878,3756.8003979316745
3034133,6210877,12435446,4090.231748556329
3034133,6210917,6210922,3839.1763993249842
3034133,6210919,10179366,3902.6232678157503
3034133,6210958,6210960,4850.954590212063
3034133,6210999,6211006,5193.799110035972
3034133,6211043,6211044,4574.88421358752
3034133,6211073,6211076,5170.982661639075
3034133,6211147,6211148,6346.59938077609
3034133,6211171,17449917,6437.935139017885
3034133,6211175,6211176,6859.915317090232
3034133,6211212,6211214,7714.013965215992
3034133,6211231,6211236,5062.266261472661
3034133,6211262,6211311,7337.123002775199
3034133,6211264,6211268,7775.257772991103
3034133,6211286,6211288,7996.296402684395
3034133,6211360,5729447,9067.769489572602
3034133,6211372,4202973,7570.23960566576
3034133,6211376,6211383,7673.976201754798
3034133,6211413,6211423,8113.35190791549
3034133,6211508,6211495,9661.557582022178
3034133,6211696,6211713,8428.428958603927
3034133,6211702,6211737,8607.25630268197
3034133,6211843,172268,10629.55873492597
3034133,6211850,172318,11025.681159693657
3034133,6211901,6211383,7142.117688839338
3034133,6211933,12418301,10091.212037990776
3034133,6211936,6211939,10242.331528252671
3034133,6211966,6211968,10199.727017447865
3034133,6212021,8052314,9963.754013075584
3034133,6212061,6495495,11325.461225575873
3034133,6212103,6212215,10456.345569455687
3034133,6212120,6212160,11472.850258158393
3034133,6212124,6212127,11670.187219694224
3034133,6212254,6212261,11309.257576652464
3034133,6212257,6252137,11441.00777888596
3034133,6212323,6212327,12101.61024573974
3034133,6212398,6212401,12520.110753815981
3034133,6212461,6212464,13118.548762538081
3034133,6212525,6212536,13808.503904572357
3034133,6212528,5174501,13980.013778720237
3034133,6212574,10918115,14112.0136643888
3034133,6212627,4745315,14217.468582242644
3034133,6212702,6212711,15187.825707425607
3034133,6212756,1560756,15625.974658648953
3034133,6212784,4168955,16535.25301431872
3034133,6212785,6212892,16566.6797073769
3034133,6212814,4322074,15883.123326965124
3034133,6212827,1560756,16459.436966561643
3034133,6212980,6212982,18341.234525324016
3034133,6213058,4745315,14231.292780444823
3034133,6213171,6136732,14534.734208703147
3034133,6213196,6291053,13735.783422036413
3034133,6213203,6213204,14287.40612904404
3034133,6213247,4204290,12034.427294999321
3034133,6213318,6213320,12296.591009767839
3034133,6213471,4204802,12440.686600071309
3034133,6213495,6213499,13590.64074083124
3034133,6213562,6213563,14675.363980395417
3034133,6213630,5769023,13602.722686269579
3034133,6213631,6213659,13703.72694360559
3034133,6213738,6213745,14281.408271859607
3034133,6213820,6213859,14747.154578540652
3034133,6213821,6213825,14782.991911296751
3034133,6213929,6213940,13915.431678327292
3034133,6213968,6213989,14299.818766904453
3034133,6214038,6214044,15073.058409025227
3034133,6214116,6214149,16648.395033688936
3034133,6214120,6214124,16869.79435780975
3034133,6214230,6214240,17634.97072690413
